OMGHAI!
-------- day 0 --------
name, sellIn, quality
Backstage passes, -3, 0
Conjured, -3, 0

-------- day 9 --------
name, sellIn, quality
+5 Dexterity Vest, 1, 11
Aged Brie, 1, 9
Elixir of the Mongoose, -4, 0
Sulfuras, 21, 80
Sulfuras, -10, 80
Backstage passes, 16, 10
Backstage passes, 1, 50
Backstage passes, -4, 0
Conjured, -4, 0

-------- day 10 --------
name, sellIn, quality
+5 Dexterity Vest, 0, 10
Aged Brie, 0, 10
Elixir of the Mongoose, -5, 0
Sulfuras, 20, 80
Sulfuras, -11, 80
Backstage passes, 15, 11
Backstage passes, 0, 50
Backstage passes, -5, 0
Conjured, -5, 0

-------- day 11 --------
name, sellIn, quality
+5 Dexterity Vest, -1, 7
Aged Brie, -1, 11
Elixir of the Mongoose, -6, 0
Sulfuras, 19, 80
Sulfuras, -12, 80
Backstage passes, 14, 12
Backstage passes, -1, 0
Backstage passes, -6, 0
Conjured, -6, 0

-------- day 12 --------
name, sellIn, quality
+5 Dexterity Vest, -2, 4
Aged Brie, -2, 12
Elixir of the Mongoose, -7, 0
Sulfuras, 18, 80
Sulfuras, -13, 80
Backstage passes, 13, 13
Backstage passes, -2, 0
Backstage passes, -7, 0
Conjured, -7, 0

-------- day 13 --------
name, sellIn, quality
+5 Dexterity Vest, -3, 1
Aged Brie, -3, 13
Elixir of the Mongoose, -8, 0
Sulfuras, 17, 80
Sulfuras, -14, 80
Backstage passes, 12, 14
Backstage passes, -3, 0
Backstage passes, -8, 0
Conjured, -8, 0

-------- day 14 --------
name, sellIn, quality
+5 Dexterity Vest, -4, 0
Aged Brie, -4, 14
Elixir of the Mongoose, -9, 0
Sulfuras, 16, 80
Sulfuras, -15, 80
Backstage passes, 11, 15
Backstage passes, -4, 0
Backstage passes, -9, 0
Conjured, -9, 0

-------- day 15 --------
name, sellIn, quality
+5 Dexterity Vest, -5, 0
Aged Brie, -5, 15
Elixir of the Mongoose, -10, 0
Sulfuras, 15, 80
Sulfuras, -16, 80
Backstage passes, 10, 16
Backstage passes, -5, 0
Backstage passes, -10, 0
Conjured, -10, 0

-------- day 16 --------
name, sellIn, quality
+5 Dexterity Vest, -6, 0
Aged Brie, -6, 16
Elixir of the Mongoose, -11, 0
Sulfuras, 14, 80
Sulfuras, -17, 80
Backstage passes, 9, 18
Backstage passes, -6, 0
Backstage passes, -11, 0
Conjured, -11, 0

-------- day 17 --------
name, sellIn, quality
+5 Dexterity Vest, -7, 0
Aged Brie, -7, 17
Elixir of the Mongoose, -12, 0
Sulfuras, 13, 80
Sulfuras, -18, 80
Backstage passes, 8, 20
Backstage passes, -7, 0
Backstage passes, -12, 0
Conjured, -12, 0

-------- day 18 --------
name, sellIn, quality
+5 Dexterity Vest, -8, 0
Aged Brie, -8, 18
Elixir of the Mongoose, -13, 0
Sulfuras, 12, 80
Sulfuras, -19, 80
Backstage passes, 7, 22
Backstage passes, -8, 0
Backstage passes, -13, 0
Conjured, -13, 0

-------- day 19 --------
name, sellIn, quality
+5 Dexterity Vest, -9, 0
Aged Brie, -9, 19
Elixir of the Mongoose, -14, 0
Sulfuras, 11, 80
Sulfuras, -20, 80
Backstage passes, 6, 24
Backstage passes, -9, 0
Backstage passes, -14, 0
Conjured, -14, 0

-------- day 20 --------
name, sellIn, quality
+5 Dexterity Vest, -10, 0
Aged Brie, -10, 20
Elixir of the Mongoose, -15, 0
Sulfuras, 10, 80
Sulfuras, -21, 80
Backstage passes, 5, 26
Backstage passes, -10, 0
Backstage passes, -15, 0
Conjured, -15, 0

-------- day 21 --------
name, sellIn, quality
+5 Dexterity Vest, -11, 0
Aged Brie, -11, 21
Elixir of the Mongoose, -16, 0
Sulfuras, 9, 80
Sulfuras, -22, 80
Backstage passes, 4, 29
Backstage passes, -11, 0
Backstage passes, -16, 0
Conjured, -16, 0

-------- day 22 --------
name, sellIn, quality
+5 Dexterity Vest, -12, 0
Aged Brie, -12, 22
Elixir of the Mongoose, -17, 0
Sulfuras, 8, 80
Sulfuras, -23, 80
Backstage passes, 3, 32
Backstage passes, -12, 0
Backstage passes, -17, 0
Conjured, -17, 0

-------- day 23 --------
name, sellIn, quality
+5 Dexterity Vest, -13, 0
Aged Brie, -13, 23
Elixir of the Mongoose, -18, 0
Sulfuras, 7, 80
Sulfuras, -24, 80
Backstage passes, 2, 35
Backstage passes, -13, 0
Backstage passes, -18, 0
Conjured, -18, 0

-------- day 24 --------
name, sellIn, quality
+5 Dexterity Vest, -14, 0
Aged Brie, -14, 24
Elixir of the Mongoose, -19, 0
Sulfuras, 6, 80
Sulfuras, -25, 80
Backstage passes, 1, 38
Backstage passes, -14, 0
Backstage passes, -19, 0
Conjured, -19, 0

-------- day 25 --------
name, sellIn, quality
+5 Dexterity Vest, -15, 0
Aged Brie, -15, 25
Elixir of the Mongoose, -20, 0
Sulfuras, 5, 80
Sulfuras, -26, 80
Backstage passes, 0, 41
Backstage passes, -15, 0
Backstage passes, -20, 0
Conjured, -20, 0

-------- day 26 --------
name, sellIn, quality
+5 Dexterity Vest, -16, 0
Aged Brie, -16, 26
Elixir of the Mongoose, -21, 0
Sulfuras, 4, 80
Sulfuras, -27, 80
Backstage passes, -1, 0
Backstage passes, -16, 0
Backstage passes, -21, 0
Conjured, -21, 0

-------- day 27 --------
name, sellIn, quality
+5 Dexterity Vest, -17, 0
Aged Brie, -17, 27
Elixir of the Mongoose, -22, 0
Sulfuras, 3, 80
Sulfuras, -28, 80
Backstage passes, -2, 0
Backstage passes, -17, 0
Backstage passes, -22, 0
Conjured, -22, 0

-------- day 28 --------
name, sellIn, quality
+5 Dexterity Vest, -18, 0
Aged Brie, -18, 28
Elixir of the Mongoose, -23, 0
Sulfuras, 2, 80
Sulfuras, -29, 80
Backstage passes, -3, 0
Backstage passes, -18, 0
Backstage passes, -23, 0
Conjured, -23, 0

-------- day 29 --------
name, sellIn, quality
+5 Dexterity Vest, -19, 0
Aged Brie, -19, 29
Elixir of the Mongoose, -24, 0
Sulfuras, 1, 80
Sulfuras, -30, 80
Backstage passes, -4, 0
Backstage passes, -19, 0
Backstage passes, -24, 0
Conjured, -24, 0

-------- day 30 --------
name, sellIn, quality
+5 Dexterity Vest, -20, 0
Aged Brie, -20, 30
Elixir of the Mongoose, -25, 0
Sulfuras, 0, 80
Sulfuras, -31, 80
Backstage passes, -5, 0
Backstage passes, -20, 0
Backstage passes, -25, 0
Conjured, -25, 0

